U(mV)
0.30
0.27
0.31
0.30
0.29
0.26
0.23
0.26
0.32
0.43
0.49
0.46
0.36
0.28
0.30
0.49
0.76
0.97
1.01
0.81
0.70
1.08
2.43
5.15
8.55
12.30
15.49
17.63
18.10
16.6
13.47
9.80
6.40
3.44
1.75
0.93
0.75
0.76
0.75
0.65
0.46
0.33
0.27
0.25
0.27
0.29
0.29
0.26
0.23
0.21
0.20
0.20
