U(mV)
0.62
0.44
0.33
0.82
1.24
0.73
0.61
2.38
4.08
3.48
6.86
22.55
42
51
45
26.5
9.57
2.73
3.08
2.55
1.03
0.95
1.55
1.26
0.58
0.51
0.67
0.46
