U(mV)
1.34
1.25
1.11
2.65
4.55
5.07
3.35
2.59
5.11
8.16
11.44
28.18
63.9
92.8
102.4
93.6
71.7
32.8
11.38
7.57
8.42
4.32
2.60
3.22
3.86
2.51
1.65
2.05
.238
1.59
