xmax(mm),Uf(mV),Uf(min),xmin(mm)
-14.7,0.4,1.09,-6
-10.3,7.6,2.4,-3.5
-6.3,10.1,6.8,-2
-0.5,103,7.4,2.5
5,11.7,2.5,4
9,6.8,1.6,5.3 
11.8,0.7
